reading_id,plant_id,component_id,sensor_id,sensor_type,timestamp,value,unit_of_measure,state_of_charge_pct,state_of_health_pct,charge_discharge_cycles,power_mw,energy_mwh,voltage_v,current_a,temperature_c,quality_flag,alarm_status,ingestion_datetime
BR-0000000001,PLT-0093,BAT-MOD-032,SENS-1796,temperature,2024-12-09T09:11:57,485.285927,C,82.55,85.26,2039,-0.077,68.497,696.931,-110.725,32.43,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
BR-0000000002,PLT-0019,BAT-MOD-033,SENS-1186,soc,2024-12-09T09:49:16,233.401212,%,51.18,85.82,3443,0.209,85.985,787.229,265.315,33.39,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000003,PLT-0042,BAT-MOD-033,SENS-7716,power,2024-12-09T09:17:18,633.754861,MW,79.38,97.37,1160,-0.194,85.440,774.873,-249.826,35.09,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000004,PLT-0048,BAT-MOD-030,SENS-9465,soc,2024-12-09T09:26:39,108.108480,%,77.48,85.32,3672,-0.176,61.597,665.076,-264.658,23.09,BAD,FAULT,2025-12-09T14:25:05
BR-0000000005,PLT-0010,BAT-MOD-005,SENS-3990,soc,2024-12-09T09:25:51,407.203239,%,51.48,90.97,2153,0.303,38.253,731.179,415.014,30.71,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
BR-0000000006,PLT-0010,BAT-MOD-044,SENS-8903,voltage,2024-12-09T09:04:06,628.912433,V,25.94,88.12,4785,-0.189,5.499,736.633,-255.985,17.52,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000007,PLT-0099,BAT-MOD-032,SENS-9835,power,2024-12-09T09:00:28,585.236682,MW,21.26,99.70,3019,0.118,52.375,716.224,164.278,36.03,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000008,PLT-0049,BAT-MOD-008,SENS-8148,soh,2024-12-09T09:35:55,422.810873,%,50.72,88.11,412,0.206,72.974,669.024,308.052,17.40,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000009,PLT-0049,BAT-MOD-002,SENS-3297,soc,2024-12-09T09:04:45,679.688466,%,89.52,99.04,2072,-0.052,51.254,628.719,-82.919,41.97,BAD,CRITICAL,2025-12-09T14:25:05
BR-0000000010,PLT-0028,BAT-MOD-018,SENS-6898,soh,2024-12-09T09:01:48,674.545964,%,30.63,97.85,3116,-0.047,88.469,633.135,-74.418,41.20,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000011,PLT-0065,BAT-MOD-019,SENS-2986,temperature,2024-12-09T09:38:51,654.502566,C,81.53,99.63,2143,0.053,5.494,634.200,83.623,24.48,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000012,PLT-0023,BAT-MOD-047,SENS-9313,temperature,2024-12-09T09:53:02,90.630353,C,86.24,88.30,2817,0.264,20.938,611.763,430.983,17.19,SUSPECT,NORMAL,2025-12-09T14:25:05
BR-0000000013,PLT-0049,BAT-MOD-033,SENS-3421,voltage,2024-12-09T09:55:48,988.660069,V,77.05,95.41,1057,0.213,36.729,634.996,335.505,20.37,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000014,PLT-0032,BAT-MOD-010,SENS-2146,temperature,2024-12-09T09:48:52,893.978595,C,56.10,96.57,1242,0.330,35.528,673.972,489.604,15.60,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000015,PLT-0081,BAT-MOD-037,SENS-9251,power,2024-12-09T09:10:46,825.478423,MW,93.16,95.28,524,-0.158,63.411,684.451,-231.101,16.96,SUSPECT,NORMAL,2025-12-09T14:25:05
BR-0000000016,PLT-0098,BAT-MOD-032,SENS-4598,current,2024-12-09T09:20:27,859.024300,A,66.54,91.39,1897,0.118,97.549,771.932,153.280,32.72,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
