reading_id,plant_id,component_id,sensor_id,sensor_type,timestamp,value,unit_of_measure,irradiance_wm2,panel_temperature_c,ambient_temperature_c,power_mw,energy_mwh,dc_voltage_v,dc_current_a,ac_voltage_v,ac_current_a,inverter_efficiency_pct,performance_ratio,tracker_angle_degrees,quality_flag,alarm_status,ingestion_datetime
SR-0000000001,PLT-0009,INV-033,SENS-1799,irradiance,2024-12-09T09:42:43,256.584720,W/m2,857.08,52.17,27.54,0.187,10.143,703.864,278.952,575.487,164.141,94.44,0.8114,-31.37,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000002,PLT-0025,INV-047,SENS-2909,power,2024-12-09T09:26:15,950.708922,MW,899.70,25.59,22.34,0.275,44.293,604.087,478.783,613.112,389.078,97.73,0.8101,-19.40,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000003,PLT-0076,INV-004,SENS-6681,temperature,2024-12-09T09:33:59,31.578066,C,830.99,35.95,23.81,0.118,10.802,798.771,155.050,687.860,301.210,96.27,0.7514,-29.30,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000004,PLT-0088,INV-021,SENS-3760,temperature,2024-12-09T09:08:11,63.424449,C,847.63,45.95,20.29,0.124,41.892,860.469,152.033,630.424,193.431,96.59,0.8176,-13.34,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000005,PLT-0020,INV-030,SENS-3651,temperature,2024-12-09T09:29:14,620.328978,C,675.41,52.72,15.79,0.152,20.915,848.730,188.515,550.249,209.023,95.91,0.8356,-43.59,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000006,PLT-0096,INV-038,SENS-3813,voltage,2024-12-09T09:51:39,294.634474,V,962.51,44.11,17.03,0.301,2.768,667.598,475.130,521.722,160.684,97.24,0.8346,-12.95,BAD,FAULT,2025-12-09T14:25:05
SR-0000000007,PLT-0040,INV-050,SENS-1843,temperature,2024-12-09T09:01:20,198.488521,C,664.72,30.45,16.02,0.214,0.644,766.994,293.694,489.743,345.642,96.22,0.8233,-4.91,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000008,PLT-0042,INV-045,SENS-6910,irradiance,2024-12-09T09:21:46,214.444692,W/m2,841.24,48.45,28.60,0.338,14.554,917.186,388.202,623.828,219.420,97.40,0.7824,-25.03,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000009,PLT-0064,INV-010,SENS-6541,current,2024-12-09T09:06:21,213.412391,A,752.11,53.86,16.62,0.269,32.367,771.652,366.579,511.462,332.001,94.98,0.7728,5.49,BAD,FAULT,2025-12-09T14:25:05
SR-0000000010,PLT-0029,INV-032,SENS-5144,power,2024-12-09T09:23:07,167.542520,MW,992.82,49.78,27.39,0.392,26.130,830.498,497.345,682.820,124.172,96.25,0.8185,-40.89,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000011,PLT-0012,INV-026,SENS-5191,voltage,2024-12-09T09:29:00,337.112796,V,855.63,47.74,19.82,0.188,33.835,789.451,250.960,524.102,314.481,96.82,0.8133,-4.36,GOOD,NORMAL,2025-12-09T14:25:05
