plant_id,plant_name,plant_type,regulatory_category,internal_regulatory_category,latitude,longitude,address,city,state,zip_code,capacity_mw,commissioning_date,operator,owner,interconnection_voltage_kv,balancing_authority,status,created_datetime,updated_datetime
PLT-0001,Houston Solar Plant 1,Solar,NERC,NEER,39.426507,-94.450365,266 Energy Drive,Houston,TX,51978,84.65,2019-08-07,Dominion Energy,Southern Company,138.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0002,Cincinnati Battery Plant 2,Battery,FERC,NEER,26.064381,-114.230181,881 Energy Drive,Cincinnati,OH,50632,365.07,2019-12-28,Duke Energy,Southern Company,345.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0003,Miami Wind Plant 3,Wind,NERC,FPL,36.160936,-108.731143,1614 Energy Drive,Miami,FL,60239,496.71,2023-03-24,Dominion Energy,Duke Energy,13.80,NYISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0004,San Francisco Solar Plant 4,Solar,NERC,NEER,42.642970,-71.596105,4954 Energy Drive,San Francisco,CA,84090,51.94,2018-12-08,Southern Company,Duke Energy,230.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0005,Phoenix Solar Plant 5,Solar,NERC,NEER,46.175506,-102.072285,9620 Energy Drive,Phoenix,AZ,93564,25.73,2023-04-21,NextEra Energy,Southern Company,230.00,MISO,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0006,Springfield Solar Plant 6,Solar,FERC,NEER,39.066564,-104.757625,5092 Energy Drive,Springfield,IL,98904,53.96,2023-08-06,Southern Company,Southern Company,345.00,MISO,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0007,Houston Wind Plant 7,Wind,FERC,NEER,30.604381,-99.025778,329 Energy Drive,Houston,TX,41879,325.85,2021-08-11,Exelon,NextEra Energy,230.00,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0008,Charlotte Battery Plant 8,Battery,FERC,NEER,34.258038,-92.246525,5625 Energy Drive,Charlotte,NC,29014,158.76,2021-11-08,Exelon,Exelon,13.80,MISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0009,Naperville Wind Plant 9,Wind,FERC,NEER,34.234943,-80.904609,1148 Energy Drive,Naperville,IL,58219,202.50,2019-06-14,Duke Energy,Exelon,69.00,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0010,Philadelphia Battery Plant 10,Battery,FERC,NEER,32.781635,-107.609682,1308 Energy Drive,Philadelphia,PA,93213,271.42,2020-12-11,Duke Energy,Exelon,138.00,ERCOT,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
